,Labels,Value
266,RMM-VAE,3
267,RMM-VAE,3
268,RMM-VAE,3
269,RMM-VAE,2
270,RMM-VAE,2
271,RMM-VAE,2
272,RMM-VAE,2
273,RMM-VAE,2
274,RMM-VAE,2
275,RMM-VAE,2
276,RMM-VAE,2
277,RMM-VAE,1
278,RMM-VAE,1
279,RMM-VAE,1
280,RMM-VAE,3
281,RMM-VAE,3
282,RMM-VAE,3
283,RMM-VAE,4
284,RMM-VAE,4
285,RMM-VAE,4
286,RMM-VAE,4
287,RMM-VAE,2
288,RMM-VAE,3
289,RMM-VAE,3
290,RMM-VAE,3
291,RMM-VAE,3
292,RMM-VAE,3
293,RMM-VAE,3
294,RMM-VAE,2
295,RMM-VAE,3
296,RMM-VAE,3
297,RMM-VAE,3
298,RMM-VAE,3
299,RMM-VAE,3
300,RMM-VAE,3
301,RMM-VAE,3
302,RMM-VAE,3
303,RMM-VAE,2
304,RMM-VAE,2
305,RMM-VAE,2
306,RMM-VAE,2
307,RMM-VAE,2
308,RMM-VAE,1
309,RMM-VAE,1
310,RMM-VAE,1
311,RMM-VAE,1
312,RMM-VAE,1
313,RMM-VAE,1
314,RMM-VAE,1
315,RMM-VAE,1
316,RMM-VAE,1
317,RMM-VAE,1
318,RMM-VAE,1
319,RMM-VAE,1
320,RMM-VAE,3
321,RMM-VAE,3
322,RMM-VAE,3
323,RMM-VAE,3
324,RMM-VAE,1
325,RMM-VAE,1
326,RMM-VAE,1
327,RMM-VAE,3
328,RMM-VAE,3
329,RMM-VAE,3
330,RMM-VAE,3
331,RMM-VAE,3
332,RMM-VAE,3
333,RMM-VAE,3
334,RMM-VAE,3
335,RMM-VAE,3
336,RMM-VAE,3
337,RMM-VAE,3
338,RMM-VAE,1
339,RMM-VAE,0
340,RMM-VAE,0
341,RMM-VAE,0
342,RMM-VAE,0
343,RMM-VAE,0
344,RMM-VAE,1
345,RMM-VAE,1
346,RMM-VAE,1
347,RMM-VAE,1
348,RMM-VAE,1
349,RMM-VAE,3
350,RMM-VAE,3
351,RMM-VAE,3
352,RMM-VAE,3
353,RMM-VAE,1
354,RMM-VAE,1
355,RMM-VAE,0
356,RMM-VAE,0
357,RMM-VAE,0
358,RMM-VAE,0
359,RMM-VAE,0
360,RMM-VAE,0
361,RMM-VAE,0
362,RMM-VAE,1
363,RMM-VAE,1
364,RMM-VAE,1
365,RMM-VAE,2
366,RMM-VAE,2
367,RMM-VAE,2
368,RMM-VAE,0
369,RMM-VAE,0
370,RMM-VAE,2
371,RMM-VAE,2
372,RMM-VAE,2
373,RMM-VAE,2
374,RMM-VAE,2
375,RMM-VAE,2
376,RMM-VAE,2
377,RMM-VAE,2
378,RMM-VAE,2
379,RMM-VAE,2
380,RMM-VAE,2
381,RMM-VAE,2
382,RMM-VAE,2
383,RMM-VAE,2
384,RMM-VAE,2
385,RMM-VAE,2
386,RMM-VAE,2
387,RMM-VAE,1
388,RMM-VAE,1
389,RMM-VAE,1
390,RMM-VAE,3
391,RMM-VAE,3
392,RMM-VAE,3
393,RMM-VAE,2
394,RMM-VAE,2
395,RMM-VAE,0
396,RMM-VAE,0
397,RMM-VAE,0
398,RMM-VAE,2
399,RMM-VAE,2
400,RMM-VAE,2
401,RMM-VAE,3
402,RMM-VAE,3
403,RMM-VAE,2
404,RMM-VAE,1
405,RMM-VAE,1
406,RMM-VAE,1
407,RMM-VAE,2
408,RMM-VAE,2
409,RMM-VAE,2
410,RMM-VAE,3
411,RMM-VAE,3
412,RMM-VAE,1
413,RMM-VAE,1
414,RMM-VAE,1
415,RMM-VAE,1
416,RMM-VAE,1
417,RMM-VAE,1
418,RMM-VAE,1
419,RMM-VAE,1
420,RMM-VAE,1
421,RMM-VAE,1
422,RMM-VAE,1
423,RMM-VAE,1
424,RMM-VAE,1
425,RMM-VAE,1
426,RMM-VAE,1
427,RMM-VAE,1
428,RMM-VAE,2
429,RMM-VAE,2
430,RMM-VAE,2
431,RMM-VAE,2
432,RMM-VAE,2
433,RMM-VAE,2
434,RMM-VAE,2
435,RMM-VAE,2
436,RMM-VAE,2
437,RMM-VAE,2
438,RMM-VAE,2
439,RMM-VAE,2
440,RMM-VAE,2
441,RMM-VAE,2
442,RMM-VAE,2
443,RMM-VAE,2
444,RMM-VAE,2
445,RMM-VAE,2
446,RMM-VAE,1
447,RMM-VAE,1
448,RMM-VAE,1
449,RMM-VAE,1
450,RMM-VAE,1
451,RMM-VAE,1
452,RMM-VAE,1
453,RMM-VAE,1
454,RMM-VAE,1
455,RMM-VAE,1
456,RMM-VAE,1
457,RMM-VAE,1
458,RMM-VAE,1
459,RMM-VAE,1
460,RMM-VAE,1
461,RMM-VAE,1
462,RMM-VAE,3
463,RMM-VAE,3
464,RMM-VAE,3
465,RMM-VAE,2
466,RMM-VAE,2
467,RMM-VAE,2
468,RMM-VAE,2
469,RMM-VAE,2
470,RMM-VAE,2
471,RMM-VAE,2
472,RMM-VAE,2
473,RMM-VAE,2
474,RMM-VAE,2
475,RMM-VAE,2
476,RMM-VAE,2
477,RMM-VAE,3
478,RMM-VAE,3
479,RMM-VAE,3
480,RMM-VAE,3
481,RMM-VAE,2
482,RMM-VAE,2
483,RMM-VAE,2
484,RMM-VAE,2
485,RMM-VAE,2
486,RMM-VAE,2
487,RMM-VAE,2
488,RMM-VAE,2
489,RMM-VAE,1
490,RMM-VAE,1
491,RMM-VAE,1
492,RMM-VAE,1
493,RMM-VAE,1
494,RMM-VAE,3
495,RMM-VAE,3
496,RMM-VAE,3
497,RMM-VAE,3
498,RMM-VAE,3
499,RMM-VAE,3
500,RMM-VAE,3
501,RMM-VAE,3
502,RMM-VAE,1
503,RMM-VAE,2
504,RMM-VAE,2
505,RMM-VAE,2
506,RMM-VAE,2
507,RMM-VAE,2
508,RMM-VAE,2
509,RMM-VAE,2
510,RMM-VAE,2
511,RMM-VAE,2
512,RMM-VAE,2
513,RMM-VAE,2
514,RMM-VAE,2
515,RMM-VAE,2
516,RMM-VAE,2
517,RMM-VAE,2
518,RMM-VAE,2
519,RMM-VAE,2
520,RMM-VAE,0
521,RMM-VAE,0
522,RMM-VAE,0
523,RMM-VAE,0
524,RMM-VAE,0
525,RMM-VAE,0
526,RMM-VAE,0
527,RMM-VAE,0
528,RMM-VAE,0
529,RMM-VAE,0
530,RMM-VAE,0
531,RMM-VAE,0
532,RMM-VAE,0
533,RMM-VAE,0
534,RMM-VAE,0
535,RMM-VAE,0
536,RMM-VAE,0
537,RMM-VAE,0
538,RMM-VAE,0
539,RMM-VAE,0
540,RMM-VAE,2
541,RMM-VAE,3
542,RMM-VAE,3
543,RMM-VAE,3
544,RMM-VAE,3
545,RMM-VAE,3
546,RMM-VAE,2
547,RMM-VAE,1
548,RMM-VAE,1
549,RMM-VAE,1
550,RMM-VAE,1
551,RMM-VAE,3
552,RMM-VAE,3
553,RMM-VAE,3
554,RMM-VAE,3
555,RMM-VAE,3
556,RMM-VAE,1
557,RMM-VAE,1
558,RMM-VAE,1
559,RMM-VAE,0
560,RMM-VAE,0
561,RMM-VAE,0
562,RMM-VAE,0
563,RMM-VAE,0
564,RMM-VAE,0
565,RMM-VAE,0
566,RMM-VAE,0
567,RMM-VAE,1
568,RMM-VAE,1
569,RMM-VAE,3
570,RMM-VAE,3
571,RMM-VAE,4
572,RMM-VAE,3
573,RMM-VAE,3
574,RMM-VAE,3
575,RMM-VAE,1
576,RMM-VAE,1
577,RMM-VAE,0
578,RMM-VAE,0
579,RMM-VAE,0
580,RMM-VAE,0
581,RMM-VAE,0
582,RMM-VAE,0
583,RMM-VAE,0
584,RMM-VAE,1
585,RMM-VAE,1
586,RMM-VAE,1
587,RMM-VAE,1
588,RMM-VAE,0
589,RMM-VAE,0
590,RMM-VAE,2
591,RMM-VAE,2
592,RMM-VAE,2
593,RMM-VAE,3
594,RMM-VAE,3
595,RMM-VAE,1
596,RMM-VAE,1
597,RMM-VAE,1
598,RMM-VAE,1
599,RMM-VAE,1
600,RMM-VAE,1
601,RMM-VAE,1
602,RMM-VAE,1
603,RMM-VAE,3
604,RMM-VAE,3
605,RMM-VAE,3
606,RMM-VAE,3
607,RMM-VAE,3
608,RMM-VAE,3
609,RMM-VAE,3
610,RMM-VAE,3
611,RMM-VAE,3
612,RMM-VAE,3
613,RMM-VAE,3
614,RMM-VAE,3
615,RMM-VAE,2
616,RMM-VAE,4
617,RMM-VAE,4
618,RMM-VAE,4
619,RMM-VAE,4
620,RMM-VAE,4
621,RMM-VAE,4
622,RMM-VAE,4
623,RMM-VAE,4
624,RMM-VAE,4
625,RMM-VAE,4
626,RMM-VAE,3
627,RMM-VAE,3
628,RMM-VAE,3
629,RMM-VAE,3
630,RMM-VAE,4
631,RMM-VAE,4
632,RMM-VAE,4
633,RMM-VAE,4
634,RMM-VAE,4
635,RMM-VAE,4
636,RMM-VAE,4
637,RMM-VAE,4
638,RMM-VAE,4
639,RMM-VAE,3
640,RMM-VAE,3
641,RMM-VAE,3
642,RMM-VAE,3
643,RMM-VAE,3
644,RMM-VAE,3
645,RMM-VAE,3
646,RMM-VAE,3
647,RMM-VAE,3
648,RMM-VAE,1
649,RMM-VAE,1
650,RMM-VAE,3
651,RMM-VAE,1
652,RMM-VAE,1
653,RMM-VAE,1
654,RMM-VAE,1
655,RMM-VAE,1
656,RMM-VAE,0
657,RMM-VAE,0
658,RMM-VAE,0
659,RMM-VAE,0
660,RMM-VAE,0
661,RMM-VAE,0
662,RMM-VAE,0
663,RMM-VAE,0
664,RMM-VAE,0
665,RMM-VAE,1
666,RMM-VAE,1
667,RMM-VAE,3
668,RMM-VAE,3
669,RMM-VAE,3
670,RMM-VAE,3
671,RMM-VAE,1
672,RMM-VAE,1
673,RMM-VAE,1
674,RMM-VAE,1
675,RMM-VAE,1
676,RMM-VAE,3
677,RMM-VAE,3
678,RMM-VAE,3
679,RMM-VAE,3
680,RMM-VAE,3
681,RMM-VAE,3
682,RMM-VAE,3
683,RMM-VAE,3
684,RMM-VAE,3
685,RMM-VAE,3
686,RMM-VAE,3
687,RMM-VAE,3
688,RMM-VAE,3
689,RMM-VAE,3
690,RMM-VAE,3
691,RMM-VAE,3
692,RMM-VAE,3
693,RMM-VAE,3
694,RMM-VAE,1
695,RMM-VAE,1
696,RMM-VAE,0
697,RMM-VAE,0
698,RMM-VAE,0
699,RMM-VAE,1
700,RMM-VAE,2
701,RMM-VAE,2
702,RMM-VAE,3
703,RMM-VAE,3
704,RMM-VAE,3
705,RMM-VAE,3
706,RMM-VAE,3
707,RMM-VAE,3
708,RMM-VAE,3
709,RMM-VAE,1
710,RMM-VAE,1
711,RMM-VAE,1
712,RMM-VAE,2
713,RMM-VAE,2
714,RMM-VAE,2
715,RMM-VAE,4
716,RMM-VAE,4
717,RMM-VAE,4
718,RMM-VAE,4
719,RMM-VAE,4
720,RMM-VAE,2
721,RMM-VAE,2
722,RMM-VAE,2
723,RMM-VAE,3
724,RMM-VAE,3
725,RMM-VAE,3
726,RMM-VAE,3
727,RMM-VAE,2
728,RMM-VAE,2
729,RMM-VAE,2
730,RMM-VAE,1
731,RMM-VAE,1
732,RMM-VAE,1
733,RMM-VAE,1
734,RMM-VAE,1
735,RMM-VAE,1
736,RMM-VAE,1
737,RMM-VAE,1
738,RMM-VAE,1
739,RMM-VAE,1
740,RMM-VAE,1
741,RMM-VAE,0
742,RMM-VAE,0
743,RMM-VAE,0
744,RMM-VAE,0
745,RMM-VAE,1
746,RMM-VAE,1
747,RMM-VAE,1
748,RMM-VAE,1
749,RMM-VAE,0
750,RMM-VAE,0
751,RMM-VAE,0
752,RMM-VAE,0
753,RMM-VAE,0
754,RMM-VAE,0
755,RMM-VAE,1
756,RMM-VAE,1
757,RMM-VAE,1
758,RMM-VAE,1
759,RMM-VAE,1
760,RMM-VAE,1
761,RMM-VAE,1
762,RMM-VAE,1
763,RMM-VAE,1
764,RMM-VAE,1
765,RMM-VAE,1
766,RMM-VAE,1
767,RMM-VAE,0
768,RMM-VAE,0
769,RMM-VAE,0
770,RMM-VAE,0
771,RMM-VAE,0
772,RMM-VAE,0
773,RMM-VAE,0
774,RMM-VAE,0
775,RMM-VAE,1
776,RMM-VAE,1
777,RMM-VAE,1
778,RMM-VAE,1
779,RMM-VAE,1
780,RMM-VAE,1
781,RMM-VAE,1
782,RMM-VAE,1
783,RMM-VAE,1
784,RMM-VAE,3
785,RMM-VAE,3
786,RMM-VAE,4
787,RMM-VAE,4
788,RMM-VAE,4
789,RMM-VAE,4
790,RMM-VAE,4
791,RMM-VAE,4
792,RMM-VAE,4
793,RMM-VAE,4
794,RMM-VAE,4
795,RMM-VAE,4
796,RMM-VAE,4
797,RMM-VAE,4
798,RMM-VAE,4
799,RMM-VAE,4
800,RMM-VAE,4
801,RMM-VAE,4
802,RMM-VAE,2
803,RMM-VAE,2
804,RMM-VAE,4
805,RMM-VAE,3
806,RMM-VAE,3
807,RMM-VAE,3
808,RMM-VAE,3
809,RMM-VAE,3
810,RMM-VAE,3
811,RMM-VAE,3
812,RMM-VAE,2
813,RMM-VAE,4
814,RMM-VAE,4
815,RMM-VAE,4
816,RMM-VAE,4
817,RMM-VAE,4
818,RMM-VAE,3
819,RMM-VAE,3
820,RMM-VAE,3
821,RMM-VAE,3
822,RMM-VAE,3
823,RMM-VAE,3
824,RMM-VAE,4
825,RMM-VAE,4
826,RMM-VAE,4
827,RMM-VAE,4
828,RMM-VAE,4
829,RMM-VAE,4
830,RMM-VAE,4
831,RMM-VAE,3
832,RMM-VAE,3
833,RMM-VAE,2
834,RMM-VAE,2
835,RMM-VAE,2
836,RMM-VAE,2
837,RMM-VAE,2
838,RMM-VAE,2
839,RMM-VAE,2
840,RMM-VAE,2
841,RMM-VAE,2
842,RMM-VAE,2
843,RMM-VAE,3
844,RMM-VAE,4
845,RMM-VAE,3
846,RMM-VAE,3
847,RMM-VAE,2
848,RMM-VAE,2
849,RMM-VAE,2
850,RMM-VAE,2
851,RMM-VAE,2
852,RMM-VAE,3
853,RMM-VAE,3
854,RMM-VAE,3
855,RMM-VAE,3
856,RMM-VAE,3
857,RMM-VAE,3
858,RMM-VAE,3
859,RMM-VAE,3
860,RMM-VAE,3
861,RMM-VAE,3
862,RMM-VAE,2
863,RMM-VAE,2
864,RMM-VAE,2
865,RMM-VAE,2
866,RMM-VAE,2
867,RMM-VAE,2
868,RMM-VAE,2
869,RMM-VAE,1
870,RMM-VAE,1
871,RMM-VAE,1
872,RMM-VAE,1
873,RMM-VAE,2
874,RMM-VAE,2
875,RMM-VAE,2
876,RMM-VAE,2
877,RMM-VAE,2
878,RMM-VAE,2
879,RMM-VAE,2
880,RMM-VAE,3
881,RMM-VAE,3
882,RMM-VAE,3
883,RMM-VAE,3
884,RMM-VAE,3
885,RMM-VAE,3
886,RMM-VAE,3
887,RMM-VAE,3
888,RMM-VAE,3
889,RMM-VAE,3
890,RMM-VAE,3
891,RMM-VAE,2
892,RMM-VAE,2
893,RMM-VAE,0
894,RMM-VAE,0
895,RMM-VAE,0
896,RMM-VAE,0
897,RMM-VAE,0
898,RMM-VAE,1
899,RMM-VAE,1
900,RMM-VAE,3
901,RMM-VAE,3
902,RMM-VAE,4
903,RMM-VAE,4
904,RMM-VAE,4
905,RMM-VAE,4
906,RMM-VAE,4
907,RMM-VAE,2
908,RMM-VAE,2
909,RMM-VAE,1
910,RMM-VAE,1
911,RMM-VAE,1
912,RMM-VAE,2
913,RMM-VAE,2
914,RMM-VAE,2
915,RMM-VAE,2
916,RMM-VAE,2
917,RMM-VAE,2
918,RMM-VAE,4
919,RMM-VAE,4
920,RMM-VAE,4
921,RMM-VAE,3
922,RMM-VAE,3
923,RMM-VAE,1
924,RMM-VAE,0
925,RMM-VAE,0
926,RMM-VAE,0
927,RMM-VAE,0
928,RMM-VAE,0
929,RMM-VAE,1
930,RMM-VAE,1
931,RMM-VAE,1
932,RMM-VAE,1
933,RMM-VAE,1
934,RMM-VAE,1
935,RMM-VAE,1
936,RMM-VAE,1
937,RMM-VAE,3
938,RMM-VAE,3
939,RMM-VAE,2
940,RMM-VAE,2
941,RMM-VAE,2
942,RMM-VAE,4
943,RMM-VAE,4
944,RMM-VAE,4
945,RMM-VAE,4
946,RMM-VAE,4
947,RMM-VAE,4
948,RMM-VAE,4
949,RMM-VAE,4
950,RMM-VAE,4
951,RMM-VAE,4
952,RMM-VAE,4
953,RMM-VAE,4
954,RMM-VAE,4
955,RMM-VAE,4
956,RMM-VAE,4
957,RMM-VAE,3
958,RMM-VAE,3
959,RMM-VAE,3
960,RMM-VAE,3
961,RMM-VAE,3
962,RMM-VAE,1
963,RMM-VAE,1
964,RMM-VAE,0
965,RMM-VAE,0
966,RMM-VAE,0
967,RMM-VAE,0
968,RMM-VAE,0
969,RMM-VAE,0
970,RMM-VAE,0
971,RMM-VAE,0
972,RMM-VAE,0
973,RMM-VAE,0
974,RMM-VAE,0
975,RMM-VAE,0
976,RMM-VAE,0
977,RMM-VAE,0
978,RMM-VAE,0
979,RMM-VAE,0
980,RMM-VAE,1
981,RMM-VAE,1
982,RMM-VAE,3
983,RMM-VAE,3
984,RMM-VAE,3
985,RMM-VAE,4
986,RMM-VAE,4
987,RMM-VAE,4
988,RMM-VAE,4
989,RMM-VAE,4
990,RMM-VAE,4
991,RMM-VAE,2
992,RMM-VAE,2
993,RMM-VAE,2
994,RMM-VAE,2
995,RMM-VAE,2
996,RMM-VAE,2
997,RMM-VAE,2
998,RMM-VAE,2
999,RMM-VAE,2
1000,RMM-VAE,3
1001,RMM-VAE,4
1002,RMM-VAE,3
1003,RMM-VAE,3
1004,RMM-VAE,3
1005,RMM-VAE,1
1006,RMM-VAE,1
1007,RMM-VAE,0
1008,RMM-VAE,0
1009,RMM-VAE,0
1010,RMM-VAE,0
1011,RMM-VAE,0
1012,RMM-VAE,1
1013,RMM-VAE,1
1014,RMM-VAE,1
1015,RMM-VAE,1
1016,RMM-VAE,1
1017,RMM-VAE,2
1018,RMM-VAE,2
1019,RMM-VAE,2
1020,RMM-VAE,2
1021,RMM-VAE,4
1022,RMM-VAE,4
1023,RMM-VAE,4
1024,RMM-VAE,2
1025,RMM-VAE,2
1026,RMM-VAE,2
1027,RMM-VAE,4
1028,RMM-VAE,4
1029,RMM-VAE,3
1030,RMM-VAE,3
1031,RMM-VAE,3
1032,RMM-VAE,3
1033,RMM-VAE,3
1034,RMM-VAE,3
1035,RMM-VAE,3
1036,RMM-VAE,3
1037,RMM-VAE,3
1038,RMM-VAE,3
1039,RMM-VAE,3
1040,RMM-VAE,3
1041,RMM-VAE,3
1042,RMM-VAE,3
1043,RMM-VAE,3
1044,RMM-VAE,3
1045,RMM-VAE,1
1046,RMM-VAE,1
1047,RMM-VAE,0
1048,RMM-VAE,0
1049,RMM-VAE,0
1050,RMM-VAE,0
1051,RMM-VAE,0
1052,RMM-VAE,1
1053,RMM-VAE,1
1054,RMM-VAE,1
1055,RMM-VAE,3
1056,RMM-VAE,3
1057,RMM-VAE,3
1058,RMM-VAE,3
1059,RMM-VAE,3
1060,RMM-VAE,3
1061,RMM-VAE,2
1062,RMM-VAE,2
1063,RMM-VAE,2
1064,RMM-VAE,1
1065,RMM-VAE,1
1066,RMM-VAE,2
1067,RMM-VAE,2
1068,RMM-VAE,4
1069,RMM-VAE,4
1070,RMM-VAE,4
1071,RMM-VAE,4
1072,RMM-VAE,4
1073,RMM-VAE,4
1074,RMM-VAE,4
1075,RMM-VAE,4
1076,RMM-VAE,4
1077,RMM-VAE,4
1078,RMM-VAE,3
1079,RMM-VAE,2
1080,RMM-VAE,1
1081,RMM-VAE,0
1082,RMM-VAE,0
1083,RMM-VAE,0
1084,RMM-VAE,0
1085,RMM-VAE,0
1086,RMM-VAE,0
1087,RMM-VAE,0
1088,RMM-VAE,0
1089,RMM-VAE,0
1090,RMM-VAE,0
1091,RMM-VAE,0
1092,RMM-VAE,0
1093,RMM-VAE,0
1094,RMM-VAE,0
1095,RMM-VAE,0
1096,RMM-VAE,0
1097,RMM-VAE,0
1098,RMM-VAE,0
1099,RMM-VAE,0
1100,RMM-VAE,0
1101,RMM-VAE,1
1102,RMM-VAE,1
1103,RMM-VAE,3
1104,RMM-VAE,3
1105,RMM-VAE,2
1106,RMM-VAE,1
1107,RMM-VAE,1
1108,RMM-VAE,1
1109,RMM-VAE,0
1110,RMM-VAE,0
1111,RMM-VAE,0
1112,RMM-VAE,0
1113,RMM-VAE,0
1114,RMM-VAE,0
1115,RMM-VAE,0
1116,RMM-VAE,0
1117,RMM-VAE,0
1118,RMM-VAE,0
1119,RMM-VAE,0
1120,RMM-VAE,0
1121,RMM-VAE,0
1122,RMM-VAE,0
1123,RMM-VAE,0
1124,RMM-VAE,1
1125,RMM-VAE,4
1126,RMM-VAE,4
1127,RMM-VAE,4
1128,RMM-VAE,4
1129,RMM-VAE,4
1130,RMM-VAE,4
1131,RMM-VAE,4
1132,RMM-VAE,4
1133,RMM-VAE,4
1134,RMM-VAE,4
1135,RMM-VAE,4
1136,RMM-VAE,4
1137,RMM-VAE,4
1138,RMM-VAE,2
1139,RMM-VAE,2
1140,RMM-VAE,2
1141,RMM-VAE,2
1142,RMM-VAE,2
1143,RMM-VAE,1
1144,RMM-VAE,1
1145,RMM-VAE,0
